process_name,page_fault_count,peak_working_set_size,working_set_size,quota_peak_paged_pool_usage,quota_paged_pool_usage,quota_peak_non_paged_pool_usage,quota_non_paged_pool_usage,page_file_usage,peak_page_file_usage
winlogon.exe,34074,32067584,14659584,191224,154880,232288,12992,2916352,4034560
svchost.exe,21496,37531648,35360768,556912,550736,72472,40824,10350592,13668352
WUDFHost.exe,3657,9408512,8654848,74760,74488,12952,12408,2355200,2355200
fontdrvhost.exe,12034,17805312,9990144,533128,334104,26528,10888,6991872,9297920
fontdrvhost.exe,1468,5095424,3923968,42888,42616,8440,7352,1654784,1810432
svchost.exe,138745,20623360,19070976,170680,163832,33064,27216,9887744,11071488
svchost.exe,4449,11685888,10940416,131336,131064,16408,12792,3112960,3305472
dwm.exe,245132,210849792,138596352,1781064,1725240,231904,123112,207052800,305418240
svchost.exe,1989,7393280,6373376,63912,63640,9384,8152,1368064,1683456
svchost.exe,2495,8335360,7725056,64744,64472,8984,7896,1925120,1978368
svchost.exe,6923,17248256,15339520,258512,250360,36648,17728,6156288,7331840
svchost.exe,4516,14225408,12722176,100152,98312,39304,13272,2973696,3772416
svchost.exe,4787,14692352,13627392,143376,125856,13344,12112,2768896,3223552
svchost.exe,5092,15904768,15032320,122344,119336,11976,11160,2519040,2928640
svchost.exe,2564,8245248,7180288,76392,74392,32848,27872,2195456,2568192
svchost.exe,8590,20303872,14917632,130384,115280,22824,13472,3567616,3653632
svchost.exe,3839,11157504,9433088,63096,62824,29744,29184,5423104,5500928
svchost.exe,13346,21970944,19095552,162440,158544,159632,20952,5648384,8617984
svchost.exe,286848,29708288,23588864,308936,291864,30816,29456,18661376,22929408
AsusCertService.exe,2533,9117696,8253440,108472,108200,9840,9160,1544192,1699840
svchost.exe,15122,12058624,11616256,102240,101296,77432,21064,3805184,4239360
svchost.exe,3533,7872512,7233536,72472,70616,9528,8848,1552384,1691648
svchost.exe,93313,21635072,18644992,123672,120344,15304,14216,2985984,7434240
svchost.exe,3629,11231232,10289152,82016,81744,12440,11760,2441216,2711552
svchost.exe,3478,11440128,10080256,86224,85952,16824,13328,2048000,2568192
svchost.exe,4858,13824000,13103104,172248,118872,78520,12496,3534848,4280320
svchost.exe,21822,22233088,11300864,648032,157240,20872,13040,2486272,11001856
svchost.exe,12671,23560192,21155840,190664,137832,37040,15832,9154560,9756672
svchost.exe,3244,9605120,8908800,78128,69984,19888,9928,1757184,2068480
svchost.exe,4298,11141120,9900032,95256,94504,59188,12408,2887680,3301376
svchost.exe,3541,8855552,8019968,70312,70040,60744,9768,2060288,2326528
svchost.exe,3906,12849152,11661312,105152,104880,12928,12248,2490368,2564096
svchost.exe,16339,32858112,23261184,134832,129224,328176,35352,12312576,18558976
svchost.exe,12311,10846208,9543680,83360,82816,188864,11600,2457600,3887104
svchost.exe,65433,47108096,42213376,98912,95592,15376,14152,31014912,36900864
svchost.exe,4324,14069760,12201984,103216,102944,84360,14712,3067904,4337664
svchost.exe,9892,20746240,18276352,178328,119672,188744,20456,3284992,6520832
svchost.exe,4744,15888384,14004224,114304,113536,88360,19392,3166208,4284416
spoolsv.exe,6167,21831680,18276352,156840,152616,26048,22448,6017024,6471680
AUDIODG.EXE,26377,37195776,25903104,144752,139208,39304,24176,12111872,27045888
svchost.exe,260744,51810304,26710016,135536,132832,36424,23776,15716352,40087552
svchost.exe,3535,10903552,9809920,92736,89856,17088,11920,2134016,2433024
svchost.exe,4019,9887744,9293824,69848,69720,10064,9256,1957888,2023424
svchost.exe,208878,122257408,71507968,602704,284544,3181632,30464,35737600,90050560
ensserver.exe,152451,20582400,16449536,170296,168072,26760,18832,3862528,7643136
svchost.exe,3407,11390976,9752576,98296,98024,59784,15432,2879488,3317760
svchost.exe,336276,467431424,20008960,1214712,132160,667456,19624,10248192,552243200
svchost.exe,30767,68411392,21204992,338728,149736,2209232,34504,5939200,53374976
service.exe,1638,5922816,5443584,42296,42024,7272,6728,978944,1097728
RstMwService.exe,3604,11579392,9777152,95408,93688,83032,11632,2596864,3014656
jhi_service.exe,2405,8769536,7987200,94032,93536,10936,9872,1425408,1597440
ipfsvc.exe,1589,5881856,5410816,48920,48648,8368,7008,1159168,1269760
GameManagerService.exe,21664,45469696,34226176,313096,312376,36840,33848,21979136,22999040
logi_lamparray_service.exe,4335,16244736,13205504,123544,119416,26024,19824,4390912,4988928
lghub_updater.exe,30731,31408128,15052800,169960,169128,22072,21392,13418496,19861504
svchost.exe,3296,11718656,10211328,99048,98744,13088,10984,2174976,2605056
XtuService.exe,81287,158412800,46186496,453616,450720,80224,37376,136577024,137592832
Atom.SDK.WindowsService.exe,13597,35807232,28606464,267808,266992,32152,27616,17342464,18243584
RazerCentralService.exe,38095,79667200,63229952,432976,388672,94744,45232,27508736,36773888
ipf_uf.exe,2873,8720384,7573504,118152,86120,20728,9320,1888256,2211840
svchost.exe,8840,28491776,25133056,167456,160864,41312,21264,4857856,6172672
svchost.exe,3216,11022336,9031680,84440,81544,11024,9392,1789952,2949120
svchost.exe,2041,7593984,6676480,67784,65632,9912,8072,1380352,1622016
WMIRegistrationService.exe,4683,16547840,14938112,139000,132488,24152,15160,3006464,3948544
RtkAudUService64.exe,11961,18935808,16220160,170696,126784,47496,14960,4468736,14565376
svchost.exe,4278,12574720,11558912,105808,97688,16424,13608,2625536,2932736
svchost.exe,2699,9011200,8077312,69112,68840,10952,8712,1560576,1900544
GamingServices.exe,185674,176386048,84414464,425816,407896,3172760,44480,40267776,133689344
GamingServicesNet.exe,3221,11423744,9732096,92416,91784,12016,11336,4952064,5165056
svchost.exe,3463,11907072,9015296,69088,68816,55528,11448,1892352,3874816
svchost.exe,3258,11935744,10252288,86384,83416,16096,11664,2420736,3104768
wmiprvse.exe,115607,55234560,55054336,318296,183184,114920,30264,40157184,42618880
AggregatorHost.exe,867867,26591232,13090816,98264,74688,11104,10208,4009984,6287360
Razer Synapse Service.exe,279345,207384576,149106688,1113800,937032,407122,316146,115445760,122740736
svchost.exe,2205,6275072,5902336,40624,36568,15536,6128,1110016,1536000
svchost.exe,31244,19075072,18391040,191216,182800,28968,15240,3780608,6225920
svchost.exe,12741,35770368,33910784,226000,205520,76216,21984,6090752,9007104
svchost.exe,8046,23994368,21962752,186024,162320,31416,17456,4534272,6053888
svchost.exe,17617,18460672,15622144,131264,109704,19864,14080,8065024,8286208
sihost.exe,19831,53145600,50565120,435800,387208,42016,24888,8888320,10436608
svchost.exe,17789,44986368,38756352,270744,242912,59744,20440,11452416,12656640
svchost.exe,3253,11927552,10674176,119560,118904,10888,9664,2170880,2666496
svchost.exe,12603,34803712,33280000,259232,252632,19208,17944,7024640,7962624
taskhostw.exe,10313,23425024,23322624,198000,198000,70000,38280,8323072,8421376
svchost.exe,24663,27897856,26808320,183264,174536,17560,16600,4898816,6533120
DashboardNotificationManager.exe,13855,30048256,5926912,296936,296360,28280,25288,14508032,15212544
svchost.exe,5678,19664896,17899520,154168,151328,58128,15000,3575808,4186112
Explorer.EXE,479303,439177216,366202880,3936136,3565216,158584,136632,292876288,361402368
ShellHost.exe,19398,60411904,53305344,687248,683968,26504,25280,45707264,46043136
ctfmon.exe,20155,49373184,39960576,359136,334720,26256,25440,10502144,19812352
svchost.exe,8620,19759104,19476480,182008,157288,16592,16456,4231168,4440064
cmd.exe,2229,7368704,6451200,44848,44576,15688,8952,2949120,7372800
conhost.exe,2770,9949184,9142272,202632,169424,11696,10880,1691648,1810432
SpacePop.exe,29440,81059840,46620672,641568,549944,45896,40960,94224384,125890560
EaseUSStartHelper.exe,3474,12660736,11669504,165704,165208,55112,14752,2027520,2289664
svchost.exe,3193,9007104,8298496,76016,75552,10888,10888,2248704,2772992
svchost.exe,164890,68444160,34750464,975872,239008,78144,24800,10948608,22327296
svchost.exe,8937,28094464,27590656,229680,221080,16504,15784,4505600,4874240
svchost.exe,6225,16596992,15429632,133768,122512,30632,13544,2551808,2899968
SearchHost.exe,250382,294461440,144863232,2188256,2077104,128792,111512,192069632,218152960
StartMenuExperienceHost.exe,52545,140685312,115130368,1134864,761864,48728,38672,48214016,98508800
RuntimeBroker.exe,28408,74395648,68009984,867760,457400,43536,34792,14831616,19750912
svchost.exe,8927,29667328,22376448,241616,217504,17064,14968,3624960,5931008
RuntimeBroker.exe,15883,46833664,33714176,402752,261568,35224,20336,7180288,10878976
DllHost.exe,6839,18341888,17649664,171344,169848,39344,26664,6602752,6623232
EarTrumpet.exe,43271,75362304,72003584,962832,830232,75712,45696,53870592,67518464
voicemeeter8.exe,40756,131096576,77664256,355728,321096,58800,36632,81367040,81760256
SearchIndexer.exe,348738,74575872,68440064,313904,294656,36992,23912,44003328,57389056
SearchProtocolHost.exe,33661,26386432,17637376,213064,212040,19568,18640,4927488,4927488
XGameHelper.exe,3981,15060992,14020608,128208,125984,10480,9392,1867776,2125824
TextInputHost.exe,93652,233816064,166350848,1728480,1704144,120352,98672,165588992,172748800
Razer Synapse Service Process.exe,65720,66187264,61870080,571520,568624,92456,61152,44367872,45563904
DllHost.exe,9229,20074496,16973824,147544,140392,11840,10752,2342912,4104192
DllHost.exe,2747,9883648,9396224,110056,104600,13256,11360,1871872,2379776
svchost.exe,4232,13119488,11767808,103696,103424,61424,18720,3149824,3571712
ShellExperienceHost.exe,50891,106405888,91217920,1160696,913664,35840,33616,59711488,97402880
RuntimeBroker.exe,17558,32231424,31395840,255544,247448,18160,16600,3850240,4333568
RuntimeBroker.exe,3323,11591680,10006528,117296,109136,9936,8984,1699840,2162688
svchost.exe,6812,16764928,12656640,195176,110256,38224,14888,3235840,4399104
svchost.exe,8318,28090368,27934720,164752,156928,68200,18336,4308992,5079040
svchost.exe,7787,21422080,14708736,164592,114448,22712,14192,3309568,6885376
svchost.exe,4304,15740928,14254080,149800,149160,14416,13192,2842624,3346432
ApplicationFrameHost.exe,48453,69906432,68333568,743008,735024,32688,30856,58486784,60043264
svchost.exe,6095,19173376,17793024,177048,153504,13336,12384,2600960,3088384
svchost.exe,4118,14094336,12701696,104088,102000,14904,13544,2465792,2932736
svchost.exe,4804,17055744,15564800,137368,133568,15984,13264,3031040,3776512
svchost.exe,2655,9998336,9052160,86408,86136,44768,43288,1875968,2158592
svchost.exe,3064,11030528,10199040,97992,97896,20592,17848,3465216,3690496
svchost.exe,4859,18374656,16216064,148304,147744,27904,26816,4087808,4501504
SearchFilterHost.exe,3586,12574720,10211328,134880,132992,11288,10344,2088960,2723840
svchost.exe,3599,13082624,12763136,123432,99288,18936,14776,3538944,4108288
SearchFilterHost.exe,3344,11853824,10616832,125776,125504,11152,10072,1855488,2203648
SearchFilterHost.exe,3934,12935168,11022336,133456,131600,11160,10344,1835008,2297856
nvcontainer.exe,59278,91398144,82063360,300784,289144,115320,27216,51372032,61927424
nvcontainer.exe,117401,100093952,64303104,397840,360016,194424,28800,32456704,65294336
nvcontainer.exe,498586,121802752,89632768,611288,452288,3196488,74232,42614784,72867840
wmiprvse.exe,85725,27676672,26124288,271256,136088,30600,21000,13008896,15192064
NVDisplay.Container.exe,173975,72134656,58040320,359072,301872,115000,29848,26845184,52932608
svchost.exe,14394,39030784,36974592,240880,238032,120160,45616,14876672,19316736
TrustedInstaller.exe,2469,9826304,9715712,69264,68720,9936,9256,1654784,1871872
NVDisplay.Container.exe,188006,251437056,71860224,418704,405208,112496,32968,37220352,221503488
svchost.exe,6145,24080384,23629824,172728,172488,16104,15160,3727360,4300800
wmiprvse.exe,3512,13533184,13287424,87104,84896,14520,12704,3407872,3534848
svchost.exe,2598,9244672,8638464,70088,67528,10472,9760,1794048,1982464
XboxPcApp.exe,204388,466862080,333295616,4968096,3620752,195212,122344,292032512,431570944
RuntimeBroker.exe,11773,42647552,42475520,349688,301064,49728,23832,6995968,8839168
XboxPcAppFT.exe,15104,56033280,55373824,458592,421624,120928,36088,9740288,10403840
XboxPcTray.exe,9743,37863424,37412864,297376,293376,24416,22992,6037504,6737920
GameBar.exe,36105,124755968,123883520,1058872,1056496,124776,53848,73109504,73588736
svchost.exe,23987,79089664,46403584,737696,346520,115560,24664,8380416,91713536
RuntimeBroker.exe,12906,46948352,45338624,353616,346520,43352,25360,11071488,12824576
GameBarFTServer.exe,6877,25964544,25849856,259448,259416,21288,21016,5296128,5423104
XboxGameBarWidgets.exe,35465,118013952,115347456,1580952,1203040,137376,57608,75542528,77950976
svchost.exe,9436,36712448,34435072,218312,202984,110152,23864,5869568,8437760
bootstrapper.exe,9755,12042240,11513856,978192,156128,21504,10072,2367488,3002368
bootstrappercrashhandler.exe,3297,12746752,12697600,168360,168184,66016,12752,2613248,2707456
cod.exe,975638,1982345216,1981812736,1435368,1413072,199912,181992,2156183552,2157756416
codCrashHandler.exe,4333,14598144,14135296,179768,173760,65880,13840,2826240,3395584
svchost.exe,10083,31072256,30953472,219344,219312,82538,34224,12525568,12705792
WmiApSrv.exe,3078,12152832,12152832,86720,86712,19976,15368,2289664,2289664
dxdiag.exe,1669,6553600,6553600,88248,88248,8640,8576,1404928,1404928
